time,x,y,theta
7228000.00000,0.45414,2.11077,0.93443
7254000.00000,0.45414,2.11077,0.93443
7280000.00000,0.45414,2.11077,0.81706
7306000.00000,0.45414,2.11077,0.81706
7332000.00000,0.45414,2.11077,0.81706
7358000.00000,0.48248,2.14476,0.81706
7384000.00000,0.48248,2.14476,0.81706
7410000.00000,0.48248,2.14476,0.72491
7436000.00000,0.48248,2.14476,0.72491
7462000.00000,0.48248,2.14476,0.72491
7488000.00000,0.51216,2.14476,0.72491
7514000.00000,0.51216,2.17360,0.72491
7540000.00000,0.51216,2.17360,0.72491
7566000.00000,0.51216,2.17360,0.69240
7592000.00000,0.51216,2.17360,0.69240
7618000.00000,0.51216,2.17360,0.69240
7644000.00000,0.54206,2.19923,0.69240
7670000.00000,0.54206,2.19923,0.69240
7696000.00000,0.54206,2.19923,0.69759
7722000.00000,0.54206,2.19923,0.69759
7748000.00000,0.54206,2.19923,0.69759
7774000.00000,0.57227,2.19923,0.69759
7800000.00000,0.57227,2.22441,0.69759
7826000.00000,0.57227,2.22441,0.69759
7852000.00000,0.57227,2.22441,0.69146
7878000.00000,0.57227,2.22441,0.69146
7904000.00000,0.57227,2.22441,0.69146
7930000.00000,0.60318,2.25016,0.69146
7956000.00000,0.60318,2.25016,0.69146
7982000.00000,0.60318,2.25016,0.67311
8008000.00000,0.60318,2.25016,0.67311
8034000.00000,0.60318,2.25016,0.67311
8060000.00000,0.63535,2.25016,0.67311
8086000.00000,0.63535,2.27630,0.67311
8112000.00000,0.63535,2.27630,0.67311
8138000.00000,0.63535,2.27630,0.64140
8164000.00000,0.63535,2.27630,0.64140
8190000.00000,0.63535,2.27630,0.64140
8216000.00000,0.66891,2.30219,0.64140
8242000.00000,0.66891,2.30219,0.64140
8268000.00000,0.66891,2.30219,0.59911
8294000.00000,0.66891,2.30219,0.59911
8320000.00000,0.66891,2.30219,0.59911
8346000.00000,0.70282,2.30219,0.59911
8372000.00000,0.70282,2.32642,0.59911
8398000.00000,0.70282,2.32642,0.59911
8424000.00000,0.70282,2.32642,0.56113
8450000.00000,0.70282,2.32642,0.56113
8476000.00000,0.70282,2.32642,0.56113
8502000.00000,0.73632,2.34837,0.56113
8528000.00000,0.73632,2.34837,0.56113
8554000.00000,0.73632,2.34837,0.53658
8580000.00000,0.73632,2.34837,0.53658
8606000.00000,0.73632,2.34837,0.53658
8632000.00000,0.77099,2.34837,0.53658
8658000.00000,0.77099,2.36958,0.53658
8684000.00000,0.77099,2.36958,0.53658
8710000.00000,0.77099,2.36958,0.51594
8736000.00000,0.77099,2.36958,0.51594
8762000.00000,0.77099,2.36958,0.51594
8788000.00000,0.80724,2.39063,0.51594
8814000.00000,0.80724,2.39063,0.51594
8840000.00000,0.80724,2.39063,0.47762
8866000.00000,0.80724,2.39063,0.47762
8892000.00000,0.80724,2.39063,0.47762
8918000.00000,0.84541,2.39063,0.47762
8944000.00000,0.84541,2.41133,0.47762
8970000.00000,0.84541,2.41133,0.47762
8996000.00000,0.84541,2.41133,0.43830
9022000.00000,0.84541,2.41133,0.43830
9048000.00000,0.84541,2.41133,0.43830
9074000.00000,0.88376,2.43023,0.43830
